path,purpose,versioning,example_files
configs/feature_store/,Custom feature registry configuration,Git,retailrocket_feature_registry.json
data/external/,External source datasets,DVC metadata in Git,retailrocket.dvc
data/raw/,Raw Retailrocket ingestion snapshots,Ignored by Git; reproducible through ingestion,"source=retailrocket_batch/, source=retailrocket_api/"
data/staged/,Cleaned staged Parquet datasets,DVC metadata in Git,source=retailrocket.dvc
data/features/,ML feature datasets,DVC metadata in Git,source=retailrocket.dvc
data/warehouse/,Local DuckDB analytical warehouse,"Generated artifact, ignored by Git",recomart.duckdb
data/curated/,Curated Retailrocket analytical datasets,DVC metadata when generated,source=retailrocket/
models/,Trained model artifacts,DVC metadata in Git,retailrocket.dvc
reports/,"Reports, plots, screenshots, summaries",Git for lightweight files,"final_project_report.md, plots/, screenshots/"
sql/,Warehouse and feature transformation SQL,Git,"retailrocket_warehouse.sql, retailrocket_features.sql"
src/,Pipeline source code organized by stage,Git,"ingestion/, validation/, preparation/, transformation/, training/, serving/"
orchestration/,Prefect pipeline definitions,Git,retailrocket_pipeline.py
