feature_group,feature_or_group,source,logic,used_for
retailrocket_user_features,total_events,mart.retailrocket_interactions,Count all events generated by each user.,"User activity representation, training, inference analysis"
retailrocket_user_features,unique_items,mart.retailrocket_interactions,Count distinct items interacted with by each user.,User diversity and activity profiling
retailrocket_user_features,"view_events, addtocart_events, transaction_events",mart.retailrocket_interactions,Conditional event counts by user and event type.,Intent-strength measurement
retailrocket_user_features,"addtocart_event_rate, transaction_event_rate",features.retailrocket_user_features,Event-type count divided by total user event count.,User conversion tendency
retailrocket_item_features,"total_events, unique_users",mart.retailrocket_interactions,Count total item interactions and distinct users per item.,Item popularity and candidate ranking
retailrocket_item_features,"category_id, parent_category_id","staged.retailrocket_item_category_latest, staged.retailrocket_category_tree",Attach latest item category and parent category metadata.,Content-aware filtering and catalog analysis
retailrocket_item_features,is_available,staged.retailrocket_item_availability_latest,Attach latest availability flag for each item.,Candidate filtering and item metadata enrichment
retailrocket_item_features,"addtocart_rate, transaction_rate, cart_to_transaction_rate",features.retailrocket_item_features,Conversion ratios derived from item-level event counts.,Ranking and item quality signals
retailrocket_user_item_features,"view_count, addtocart_count, transaction_count",mart.retailrocket_user_item_interactions,Aggregate user-item event counts by event type.,Implicit feedback model training
retailrocket_user_item_features,implicit_label,features.retailrocket_user_item_features,Encode interaction strength: view < addtocart < transaction.,Recommendation target signal
retailrocket_user_item_features,strongest_event_type,features.retailrocket_user_item_features,Select strongest observed user-item event type.,Interpretability and behavioral analysis
dummyjson_feature_registry,"user, item, interaction feature views",configs/feature_store/dummyjson_feature_registry.json,"Custom registry maps feature views to entities, source paths, and intended usage.",Feature store demonstration
